Case,hc(nm),Pmax(uN),S(uN/nm),A(nm^2),hmax(nm),heff(nm),E* (GPa),H(GPa),A,hf(nm),m,X(mm),Y(mm),Drift(nm/s),C (GPa),dP/dh (N/m),Wp/Wt,sy (GPa),md,T (C),Estar (GPa),E_1,E_3,We,Wp,Wt,
0,146.593346,10003.31028,155.784815,715158.4317,194.415682,194.752615,163.214531,13.987544,20.617239,106.183604,1.379314,-80.873809,-25.70306,1.128057,264.65564,169781.4796,0.55182121,0.83,9.342351,25,152,138,163,368054.1107,453167.5072,821221.618,
1,183.375139,10000.84182,171.158474,1049852.31,226.927036,227.197867,148.002527,9.525951,12.594743,139.902744,1.494004,-80.863809,-25.70306,0.484601,194.2066411,185445.9636,0.634600865,0.83,0.0051,25,152,138,163,345121.4979,599384.017,944505.5149,
2,190.409814,10000.91563,170.355784,1121009.464,234.172001,234.439354,142.556515,8.921348,16.189447,149.508446,1.446715,-80.853809,-25.70306,0.101847,182.3769,181698.18,0.659227994,0.83,0.657045,25,152,138,163,341202.6807,660061.1411,1001263.822,
3,220.988833,10000.70096,186.100152,1457123.141,261.029894,261.292538,136.594568,6.863319,13.857941,180.713384,1.499474,-80.843809,-25.70306,0.033632,146.7742761,200373.5361,0.705696448,0.83,0.006822,25,152,138,163,314431.5167,753960.3334,1068391.85,
4,213.388132,10000.69178,178.796862,1369501.691,255.337139,255.338079,135.367196,7.302431,17.207831,174.325594,1.448378,-80.833808,-25.70306,0.008012,153.3917728,170225.0074,0.681954758,0.83,0.214899,25,152,138,163,329037.4136,705524.2473,1034561.661,Ê   
5,157.982089,10000.50851,161.05459,812101.7617,204.235583,204.552518,158.3444,12.314354,18.304083,117.029477,1.409527,-80.873809,-25.69306,-0.003288,239.7503583,170154.0648,0.59289055,0.83,6.500553,25,152,138,163,355387.6296,517565.8964,872953.526,Ê   
6,200.192918,10000.81817,171.495213,1223796.164,243.801484,243.929496,137.351146,8.171964,15.275832,158.837511,1.459167,-80.863809,-25.69306,0.047102,168.2530097,179650.4045,0.661025411,0.83,0.222564,25,152,138,163,342049.3223,667021.3662,1009070.688,Ê   
7,225.506299,10000.37689,191.252054,1510481.468,264.413483,264.723042,137.874273,6.620655,17.566906,188.234751,1.462799,-80.853809,-25.69306,0.044446,143.0372572,195966.5594,0.717444896,0.83,0.034995,25,152,138,163,305209.2869,774966.87,1080176.157,Ê   
8,154.094326,10000.82124,166.029051,778335.4605,199.041147,199.270854,166.738352,12.848986,25.603089,117.619407,1.35554,-80.843809,-25.69306,0.002852,252.4352114,178494.7016,0.588439645,0.83,5.885119,25,152,138,163,341397.3854,488122.2247,829519.6101,Ê   
9,151.307618,10001.03511,166.084317,754561.4408,196.394025,196.470078,169.40107,13.254103,18.762586,111.387513,1.412942,-80.833808,-25.69306,0.031783,259.2915776,177741.5814,0.575441545,0.83,0.27356,25,152,138,163,348170.9125,471906.7675,820077.68,Ê
10,218.802212,10000.86275,187.010907,1431638.775,258.930807,258.910285,138.479357,6.985605,11.804384,177.059849,1.53056,-80.873809,-25.68306,0.035247,149.1660596,201910.3266,0.702334685,0.83,0.234441,25,152,138,163,317884.144,750040.5617,1067924.706,
