validation_one TI33_25a TI33_25a sigma_y 1 0.08595882 0.062014308
validation_one TI33_25a TI33_25a sigma_y 2 0.09031646 0.09932212
validation_one TI33_25a TI33_25a sigma_y 3 0.15382221 0.110278904
validation_one TI33_25a TI33_25a sigma_y 4 0.10602943 0.097310744
validation_one TI33_25a TI33_25a sigma_y 5 0.113037065 0.0763116
validation_one TI33_25a TI33_25a sigma_y 10 0.066473424 0.034845043
validation_one TI33_25a TI33_25a sigma_y 20 0.0988006 0.07982348

validation_one TI33_25a TI33_250a sigma_y 1 1.7997462 0.08462705
validation_one TI33_25a TI33_250a sigma_y 2 1.8513277 0.097010314
validation_one TI33_25a TI33_250a sigma_y 3 1.798626 0.14921178
validation_one TI33_25a TI33_250a sigma_y 4 1.7618561 0.1442789
validation_one TI33_25a TI33_250a sigma_y 5 1.8380591 0.05516591
validation_one TI33_25a TI33_250a sigma_y 10 1.8194968 0.08617215
validation_one TI33_25a TI33_250a sigma_y 20 6.278115 13.272601

validation_one TI33_25a TI33_25a sigma_y 1 1151.1102 861.14435
validation_one TI33_25a TI33_25a sigma_y 2 812.4585 714.3538
validation_one TI33_25a TI33_25a sigma_y 3 1114.4786 983.8518
validation_one TI33_25a TI33_25a sigma_y 4 424.46442 315.98282
validation_one TI33_25a TI33_25a sigma_y 5 989.53253 508.98703
validation_one TI33_25a TI33_25a sigma_y 10 1262.438 808.7199
validation_one TI33_25a TI33_25a sigma_y 20 1190.3722 893.7082

validation_one TI33_25a TI33_250a sigma_y 1 4814.359 3844.7659
validation_one TI33_25a TI33_250a sigma_y 2 7497.332 5187.783
validation_one TI33_25a TI33_250a sigma_y 3 5942.8706 4612.996
validation_one TI33_25a TI33_250a sigma_y 4 5475.077 5506.305
validation_one TI33_25a TI33_250a sigma_y 5 6212.926 4921.5894
validation_one TI33_25a TI33_250a sigma_y 10 5882.414 5147.4346
validation_one TI33_25a TI33_250a sigma_y 20 6617.4736 4183.5503


validation_one TI33_25a TI33_25a sigma_y 1 857.2931 515.5357
validation_one TI33_25a TI33_25a sigma_y 1 992.5752 562.8213
validation_one TI33_25a TI33_25a sigma_y 1 1016.3317 895.13025
validation_one TI33_25a TI33_25a sigma_y 4 1 697.2434 409.59674
validation_one TI33_25a TI33_25a sigma_y 4 1 560.3647 356.8086
validation_one Ti33_25a TI33_25a sigma_y 4 4 484.24423 348.7431
validation_one Ti33_25a TI33_25a sigma_y 4 3 365.73795 188.85675
validation_one Ti33_25a TI33_25a sigma_y 4 2 636.284 329.5422
validation_one Ti33_25a TI33_25a sigma_y 4 10 816.7292 518.8001
validation_one Ti33_25a TI33_25a sigma_y 4 5 656.09314 501.66257
validation_one Ti33_25a TI33_25a sigma_y 4 20 425.8016 181.53055


validation_one TI33_25a TI33_25a sigma_y 5 1 408.91537 213.70789
validation_one Ti33_25a TI33_25a sigma_y 5 2 295.10284 245.94472
validation_one Ti33_25a TI33_25a sigma_y 5 3 290.97345 165.07294
validation_one Ti33_25a TI33_25a sigma_y 5 4 311.60773 203.32501
validation_one Ti33_25a TI33_25a sigma_y 5 5 364.17368 266.46695
validation_one Ti33_25a TI33_25a sigma_y 5 10 349.5544 179.9441
validation_one Ti33_25a TI33_25a sigma_y 5 20 296.43106 229.23686

validation_one TI33_25a TI33_25a sigma_y 6 1 188.72379 267.43564
validation_one Ti33_25a TI33_25a sigma_y 6 2 121.68385 89.27118
validation_one Ti33_25a TI33_25a sigma_y 6 3 140.93689 109.1261
validation_one Ti33_25a TI33_25a sigma_y 6 4 180.25986 72.838394
validation_one Ti33_25a TI33_25a sigma_y 6 5 364.61862 506.69116
validation_one Ti33_25a TI33_25a sigma_y 6 10 156.17932 82.70566
validation_one Ti33_25a TI33_25a sigma_y 6 20 299.17746 145.78099

validation_one TI33_25a TI33_25a sigma_y 7 1 109.415115 113.9881
validation_one Ti33_25a TI33_25a sigma_y 7 2 80.756905 79.62107
validation_one Ti33_25a TI33_25a sigma_y 7 3 148.65862 80.55674
validation_one Ti33_25a TI33_25a sigma_y 7 4 121.130104 81.1682
validation_one Ti33_25a TI33_25a sigma_y 7 5 116.27932 95.62222
validation_one Ti33_25a TI33_25a sigma_y 7 10 75.847244 83.53411
validation_one Ti33_25a TI33_25a sigma_y 7 20 271.35956 334.3482

